Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,křepel šupinkatý
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,křepel Douglasův
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,křepel přílbový
Callipepla californica,California Quail,calqua,111018,TRUE,křepel kalifornský
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,křepel vousatý
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,křepel dlouhoocasý
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,křepel bledočelý
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,křepel mramorovaný
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,křepel šedobřichý
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,křepel středoamerický
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,křepel středoamerický
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,křepel černočelý
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,křepel kaštanový
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,křepel hnědohřbetý
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,křepel rezavoprsý
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,křepel dariénský
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,křepel límcový
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,křepel venezuelský
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,křepel bělohrdlý
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,křepel pruholící
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,křepel hvězdičkový
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,křepel skvrnitý
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,křepel rezavolící
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,křepel zpěvavý
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,křepel harlekýn
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,křepel harlekýn (ssp. sallei/rowleyi)
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,křepel perličkový
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,koroptev tanzanská
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,koroptev korunkatá
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,koroptev rudohlavá
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,koroptev oranžovohrdlá
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,koroptev bělolící
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,frankolín červenozobý
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,frankolín kapský
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,frankolín natalský
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,frankolín Hildebrandtův
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,frankolín ahantský
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,frankolín šupinkatý
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,frankolín páskovaný
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,frankolín žlutohrdlý
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,frankolín šedoprsý
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,frankolín rudohrdlý
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,frankolín Swainsonův
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,frankolín bambusový
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,frankolín ugandský
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,frankolín kamerunský
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,frankolín angolský
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,frankolín rezavokrký
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,frankolín Erckelův
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,frankolín džibutský
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,frankolín obecný
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,frankolín indický
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,frankolín perličkový
Francolinus pondicerianus,Grey Francolin,,,FALSE,frankolín křepelčí
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,frankolín bažinný
