Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,it
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Francolino di Swainson
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Francolino di Jackson
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Francolino magnifico
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Francolino del Camerun
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Francolino di Swierstra
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Francolino nucacastana
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Francolino di Erckel
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Francolino di Gibuti
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Francolino
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Francolino pittato
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Francolino della Cina
Francolinus pondicerianus,Grey Francolin,,,FALSE,Francolino grigio
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Francolino di palude
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Francolino crestato
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,Francolino golabianca
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,Francolino di Schlegel
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,Francolino di foresta
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,Francolino dal collare
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,Francolino di Finsch
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,
Scleroptila whytei,Whyte's Francolin,shefra3,277097,FALSE,
Scleroptila gutturalis,Orange River Francolin,orrfra2,510309801,FALSE,Francolino dell'Orange
Bambusicola fytchii,Mountain Bamboo-partridge,mobpar1,53420721,FALSE,Pernice del bambù montana
Bambusicola thoracicus,Chinese Bamboo-partridge,chbpar3,48693961,FALSE,
Bambusicola sonorivox,Taiwan Bamboo-partridge,taibap1,203928081,FALSE,Pernice di Taiwan
